company_id,company_name,country,size,logo,website,about_us
78312,"Ban Công nghệ BIDV",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2022/07/18/TopDev-81f3677cd60d2cb9eb6d7fed6b7d5251-1658110907.png,https://tuyendung.bidv.com.vn/,"Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (BIDV) là ngân hàng hàng đầu tại Việt Nam, hoạt động kinh doanh trong nhiều lĩnh vực như: Ngân hàng, Bảo hiểm, Chứng khoán. Với hơn 25.000 cán bộ nhân viên, BIDV nhận thức được rằng nguồn nhân lực là một nhân tố quan trọng hàng đầu cho sự phát triển và thành công của tổ chức. Vì vậy, một trong những mục tiêu quan trọng nhất của BIDV là phải xây dựng, duy trì và phát triển đội ngũ nhân viên đảm bảo đủ về số lượng và chất lượng để thực hiện thắng lợi các mục tiêu, chiến lược kinh doanh của hệ thống."
79327,"Pasona Tech Việt Nam",Japan,100-499,https://assets.topdev.vn/images/2022/07/27/TopDev-LogoofPasonaTech-NgnNguyn-1658914059.jpg,https://www.pasonatech.vn/,"Chào mừng đến với Pasona Tech Việt Nam."
79827,"soxes AG",Switzerland,100-499,https://assets.topdev.vn/images/2023/08/16/TopDev-z4608453108612_8caffb1eec91afa6d9d6d8431d67334f-1692168614.jpg,https://www.soxes.ch/,"soxes AG is a Swiss software company. We focus our expertise on our European clients' outstanding visions and projects. Our customers' business goals and success take center stage in our daily work. Our development teams collaborate closely with our clients to develop high-quality solutions."
80787,"DTS Software Viet Nam",Japan,100-499,https://assets.topdev.vn/images/2020/02/21/1559822688581-Untitled.jpg,http://dtsvn.com/,"Công ty TNHH Phần mềm DTS Việt Nam (tên gọi tắt là DTS Việt Nam) được thành lập với mục đích giúp DTS Corporation tại Nhật Bản đáp ứng nhu cầu phát triển sản phẩm, dịch vụ và cung cấp cho khách hàng đơn giá hợp lý, có tính cạnh tranh."
80858,"Cathay Life",Taiwan,"Hơn 1000",https://assets.topdev.vn/images/2020/02/20/logo-%282%29.png,https://www.cathaylife.com.vn/cathay/,"Công ty TNHH BHNT Cathay thành lập tháng 08 năm 1962, trực thuộc tập đoàn tài chính hàng đầu Cathay. Trong hơn 4 thập niên qua, với sự hỗ trợ đắc lực của hơn 26.000 nhân viên chuyên nghiệp, các cổ đông cùng mạng lưới khách hàng rộng lớn, chính sách chăm sóc khách hàng chu đáo, công ty BHNT Cathay đã luôn duy trì được mức doanh thu, tài sản và chính sách phát triển ổn định. Ngày nay, tại Đài Loan, công ty BHNT Cathay chính là thương hiệu số một trong ngành bảo hiểm nhân thọ."
81961,"VIETCAP SECURITIES",Vietnam,100-499,https://assets.topdev.vn/images/2023/11/03/TopDev-Logo-Cong-Ty-Cp-Chung-Khoan-VIETCAP-1698998970.png,https://www.vietcap.com.vn,"Vietcap Trading"
83675,"Công ty Cổ phần Công nghệ Truyền thông DTS",Vietnam,100-499,https://assets.topdev.vn/images/2023/02/23/TopDev-Logo-DTS---Thu-Nguyen-1677140931.PNG,https://www.dts.com.vn/,"Công ty Cổ phần Công nghệ Truyền thông DTS được thành lập ngày 26/01/1999. Sau gần 23 năm hình thành và phát triển, DTS hoạt động mạnh mẽ trên các lĩnh vực bao gồm Giải pháp viễn thông và công nghệ thông tin, phần mềm, Dịch vụ Data Center và Đào tạo Công nghệ Thông tin. Từ một công ty công nghệ thông tin có trụ sở chính tại Thành phố Hồ Chí Minh, tính đến năm 2018, DTS đã mở rộng hoạt động trên khắp 64 tỉnh thành với 2 chi nhánh tại Hà Nội và Đà Nẵng, doanh thu ước tính hàng năm đạt 50 triệu USD cùng quy mô công ty lên đến gần 200 nhân sự."
83682,"Trung Tâm Công nghệ thông tin Mobifone",Vietnam,100-499,https://assets.topdev.vn/images/2022/08/16/TopDev-logohAT8HlmQCaufvVvrCsjpIGZiVwAD6RSZ-1660654919.jpeg,https://it.mobifone.vn/tuyen-dung/,"XIN CHÀO ỨNG VIÊN"
83699,"Toshiba Software Development (Vietnam)","Not found!","Not found!",https://assets.topdev.vn/images/2020/06/02/toshiba-logo-kOi4q.png,"Not found!","Established in April 2007, Toshiba Software Development (Vietnam) Co., Ltd is a software company with 100% capital invested from Toshiba Corporation (Japan). As one of the overseas R& D centers of Toshiba Corporate in the software development field, we are developing software for a variety of Toshiba products & solutions. Besides, TSDV has been also working on R&D activities of cutting-edge fundamental software technologies. We aim to become a leading company in the software development field."
83734,"YOONG SOFTWARE CO., LTD.",Vietnam,25-99,https://assets.topdev.vn/images/2020/06/24/Yoong-Logo-6tUe4.PNG,https://yoong.vn/en/,"Ở Yoong, chúng tôi không chỉ cung cấp giải pháp công nghệ, chúng tôi là những người đồng hành cùng bạn trên đường tới thành công. Mỗi nhân viên được đào tạo để trở thành full-stack developer – Một người có thể tạo ra sản phẩm từ A tới Z. Họ bao quát được công việc của developer, tester, maintenance, coder, business developer."
83749,"One Mount Group",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2022/08/29/TopDev-OneMount-Logo-1661757130.png,https://onemount.com/,"One Mount Group được thành lập với tham vọng kiến tạo hệ sinh thái công nghệ lớn nhất Việt Nam, cung cấp các giải pháp và dịch vụ xuyên suốt chuỗi giá trị, từ lĩnh vực dịch vụ tài chính, phân phối, bất động sản và bán lẻ. Bắt đầu với VinShop, ứng dụng bán lẻ chuyên dụng giúp các chủ tiệm tạp hoá độc lập phát triển cửa hàng của họ thông qua công nghệ hỗ trợ quản lý chuỗi cung ứng và hàng tồn kho. VinID, siêu ứng dụng và hệ thống quản lý khách hàng thân thiết lớn nhất Việt Nam tích hợp nhiều chức năng như thanh toán, quản lý nhà ở, mua hàng, dịch vụ tài chính. Và OneHousing, nền tảng toàn diện cho mọi nhu cầu về nhà ở, hỗ trợ mua bán, đầu tư và các dịch vụ khác liên quan đến bất động sản."
83765,"CÔNG TY TNHH POSCO DX VIỆT NAM",South-Korea,25-99,https://assets.topdev.vn/images/2023/06/26/TopDev-79d72697aa934440feefea356cc83d40-1687754035.png,http://poscodxvn.com/,"POSCO DX Vietnam is a Korean IT firm exclusively providing IT operation solutions for steel factories of POSCO in Vietnam."
83868,"Ngân hàng TMCP Việt Nam Thịnh Vượng (VPBank)",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2023/06/27/TopDev-logo-ko-tag-line-01-1687853577.png,https://tuyendung.vpbank.com.vn/vi,"Giới thiệu VPBank"
83892,TAPTAP,Vietnam,25-99,https://assets.topdev.vn/images/2024/06/12/TopDev-pCtEMulOAwlxFmq0-1718173182.png,https://taptap.com.vn/,"Ứng dụng vàng trong làng tích-đổi điểm!"
84011,"Viettel Group",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2023/02/03/TopDev-Viettel-Logo-Original-1675389520.png,https://tuyendung.viettel.vn/,"Tập đoàn Công nghiệp – Viễn thông Quân đội, thường dược biết đến dưới tên giao dịch Viettel hay Tập đoàn Viettel, là một tập đoàn viễn thông và công nghệ Việt Nam được thành lập vào ngày 1 tháng 6 năm 1989. Các ngành nghề chính của tập đoàn bao gồm: ngành dịch vụ viễn thông & công nghệ thông tin; ngành nghiên cứu sản xuất thiết bị điện tử viễn thông, ngành công nghiệp quốc phòng, ngành công nghiệp an ninh mạng và ngành cung cấp dịch vụ số. Sản phẩm nổi bật nhất của Viettel hiện nay là mạng di động Viettel Mobile. Công ty thành viên Viettel Telecom của Viettel hiện đang là nhà mạng giữ thị phần lớn nhất trên thị trường dịch vụ viễn thông Việt Nam."
84093,Eduvator,Vietnam,100-499,https://assets.topdev.vn/images/2024/05/02/TopDev-B7a8LPT7uCwguiYL-1714655028.png,https://zim.vn,"Eduvator is a young Edtech company specialized in personalized education. We aim to use technology to find the most suitable way of learning for each individual."
84168,Senspark,Vietnam,25-99,https://assets.topdev.vn/images/2020/10/16/b9972940c56a-YenDo-FU0Kq.png,https://senspark.com/,"About Senspark:"
